Model Outputs																											
			Cluster Quality								Structural Similarity		Sequential Similarity		Functional Similarity		Structural + Sequential				PLOT DATA - DO NOT EDIT						
ID	Model	Embedding	# in Noise	# in largest cluster	# Proteins	% Proteins in Noise	% Proteins in Noise + largest cluster	Num. Clusters	Silhouette Score	DB Index	TM-Align	RMSD	BitScore	E-Value	FunSim Score	FunSim coverage	% protein pairs in "good place"	% clusters in "good place"	TM Align Coverage		series	noise_pct	silhouette	func_sim	goodplace_pairs_pct	goodplace_clusters_pct	metrics_coverage_pct
id	model	embedding	noise	largest_clus	proteins	perc_noise	perc_noise_largest_clus	clusters	silhouette	db	tm_align	rmsd	bitscore	e_value	funsim_scr	funsim_coverage	perc_protein_good_place	perc_cluster_good_place	tm_coverage		series	noise_pct	silhouette	func_sim	goodplace_pairs_pct	goodplace_clusters_pct	metrics_coverage_pct
																											
RAND	RAND	Random																			RAND-Random						
																											
A2EP	DBSCAN	SeqVec	12,293	691	19,515	63%	67%	1,534	0.37	0.75					0.39	97%	61%	44%	65%		DBSCAN-SeqVec	0.6299	0.3678	0.3943	0.6078	0.4437	0.6532
																											
A1EP	DBSCAN	DeepFold	9,923	4,571	19,325	51%	75%	1,221	0.00	0.93					0.05	78%	4%	57%	2%		DBSCAN-DeepFold	0.5135	-0.0004	0.0508	0.0372	0.5711	0.0241
																											
A3EP	DBSCAN	Structure LSTM + SeqVec	17,094	232	19,442	88%	89%	714	0.55	0.48					0.74	97%	87%	59%	80%		DBSCAN-Structure LSTM + SeqVec	0.8792	0.5485	0.7392	0.8735	0.5855	0.8043
																											
																											
																											
B2EP	HDBSCAN	SeqVec	10,840	416	19,515	56%	58%	741	0.23	1.36					0.50	94%	57%	24%	81%		HDBSCAN-SeqVec	0.5555	0.2331	0.5021	0.5686	0.2363	0.8117
B2EPA	HDBSCAN	SeqVec	13,462	401	19,515	69%	71%	314	0.32	1.10					0.46	92%	44%	31%	65%		HDBSCAN-SeqVec	0.6898	0.3240	0.4601	0.4423	0.3131	0.6491
B2EPB	HDBSCAN	SeqVec	12,003	416	19,515	62%	64%	284	0.24	1.42					0.45	92%	40%	23%	69%		HDBSCAN-SeqVec	0.6151	0.2441	0.4502	0.3963	0.2332	0.6895
B2EPC	HDBSCAN	SeqVec	13,854	446	19,515	71%	73%	184	0.33	1.10					0.48	86%	42%	28%	61%		HDBSCAN-SeqVec	0.7099	0.3332	0.4772	0.4165	0.2787	0.6139
																											
B1EPA	HDBSCAN	DeepFold	15,414	308	19,325	80%	81%	233	0.42	0.91					0.51	87%	58%	54%	61%		HDBSCAN-DeepFold	0.7976	0.4241	0.5136	0.5813	0.5351	0.6117
B1EPC	HDBSCAN	DeepFold	15,191	754	19,325	79%	83%	120	0.40	0.96					0.26	75%	47%	55%	24%		HDBSCAN-DeepFold	0.7861	0.4033	0.2623	0.4655	0.5546	0.2425
																											
